"Source","Target","N","nb_cit_Target","nb_cit_Source","Weight"
4543040,3340593,4,8,18,0.333333333333333
4543040,4118422,4,21,18,0.205737799949456
4850876,3340593,4,8,17,0.342997170285018
4850876,4543040,8,18,17,0.457329560380024
5206559,3829231,5,55,68,0.0817587425209661
5301976,5206559,5,68,9,0.202113020863611
5343942,5206559,4,68,10,0.153392997769474
5630592,4202106,4,8,18,0.333333333333333
6010391,4218636,4,12,6,0.471404520791032
6212200,4850876,4,17,4,0.485071250072666
6819608,4118422,4,21,11,0.263180677983908
7308420,4409272,5,7,8,0.668153104781061
7592799,5206559,4,68,48,0.0700140042014005
7948004,4543040,5,18,23,0.245736593591495
8257075,3829231,4,55,51,0.0755254912049361
8257075,3832017,5,12,51,0.202113020863611
9013560,8257075,4,51,6,0.228664780190012
9784288,3829231,4,55,41,0.0842338630285323
9784288,5206559,13,68,41,0.246205056200535
9784288,8257075,7,51,41,0.153080905894243
9784477,5206559,7,68,23,0.177002608098461
9793083,5206559,8,68,8,0.342997170285018
9793723,4218636,4,12,9,0.384900179459751
9793728,9793076,4,5,20,0.4
10094135,8257075,5,51,33,0.121878737354522
10526588,7948004,4,23,11,0.251477845384773
10526626,5635475,4,8,20,0.316227766016838
10526626,6351292,4,17,20,0.216930457818656
10526626,10094135,4,33,20,0.155699788832305
10682331,4543040,5,18,11,0.355334527259351
10682331,4850876,7,17,11,0.511890696888991
11255368,7592799,4,48,12,0.166666666666667
11274817,3555744,4,16,21,0.218217890235992
11431556,4543040,4,18,15,0.243432247780074
11436738,4543040,6,18,11,0.426401432711221
11436738,4850876,8,17,11,0.585017939301705
11436738,10682331,5,11,11,0.454545454545455
11758980,10317940,5,6,6,0.833333333333333
11804826,3227546,5,5,7,0.845154254728517
12130830,9784288,4,41,4,0.312347523777212
12838770,10094135,5,33,39,0.139373668334515
12949704,8257071,4,8,23,0.294883912309794
12949704,8257075,6,51,23,0.175187148742135
12949704,9784288,4,41,23,0.130257921805167
14019388,5206559,8,68,30,0.177122977108019
14603547,12838770,5,39,27,0.154083387840341
15259406,3578552,4,5,7,0.676123403782813
15352517,7720676,4,12,9,0.384900179459751
15593237,4850876,4,17,4,0.485071250072666
15631800,12073369,4,6,5,0.730296743340221
15686441,6207824,4,8,5,0.632455532033676
15862899,3832017,4,12,7,0.436435780471985
15862899,7308420,4,8,7,0.534522483824849
16047464,11255368,4,12,6,0.471404520791032
16061941,11255368,4,12,4,0.577350269189626
16237272,5206559,5,68,12,0.175035010503501
16237272,9784288,4,41,12,0.180333926933486
16238356,5206559,4,68,10,0.153392997769474
16561904,10094135,4,33,9,0.232103541274264
16862907,5206559,5,68,22,0.129271922498755
16862907,11274817,4,21,22,0.186096842079694
16927553,5206559,4,68,4,0.242535625036333
16964454,4312792,5,7,21,0.412393049421161
16964454,7948004,7,23,21,0.318511028635303
16982579,3829231,9,55,117,0.112193638801015
16982579,3840603,9,39,117,0.133234677505298
16982579,4065101,4,7,117,0.139771311562922
16982579,5206559,14,68,117,0.156956985265806
16982579,5317410,8,15,117,0.190963966410515
16982579,7592799,9,48,117,0.120096115353815
16982579,7759170,5,13,117,0.128205128205128
16982579,8257075,4,51,117,0.0517823758253745
16982579,9784286,4,7,117,0.139771311562922
16982579,9784288,7,41,117,0.101067885758982
16982579,9808723,12,16,117,0.277350098112615
16982579,10083175,4,4,117,0.18490006540841
16982579,10093617,5,6,117,0.188712839024099
16982579,10094135,6,33,117,0.0965609099170535
16982579,11255368,5,12,117,0.133440128170906
16982579,12838770,6,39,117,0.0888231183368655
16982579,12949704,4,23,117,0.0771086575954987
16982579,13266950,4,6,117,0.150970271219279
16982579,16056864,4,4,117,0.18490006540841
16982579,16238356,4,10,117,0.116941069240937
17006402,12073369,4,6,13,0.452910813657838
17006402,16982579,6,117,13,0.153846153846154
17093916,4543040,8,18,12,0.544331053951817
17093916,4850876,8,17,12,0.560112033611204
17093916,10682331,5,11,12,0.435194139889245
17093916,11436738,5,11,12,0.435194139889245
17093916,15593237,4,4,12,0.577350269189626
17347184,5206559,6,68,13,0.201801838198894
17538905,7592799,6,48,14,0.231455024943138
17538905,7720676,5,12,14,0.38575837490523
17538905,7727454,4,9,14,0.356348322549899
17538905,15352517,5,9,14,0.445435403187374
17681590,6351292,4,17,15,0.25048971643406
17681590,12838770,7,39,15,0.289414380708153
17781321,3578552,4,5,4,0.894427190999916
17781321,15259406,4,7,4,0.755928946018454
17783272,5210301,6,9,7,0.755928946018454
17791782,15120806,4,6,14,0.436435780471985
17791782,15259406,5,7,14,0.505076272276105
17841708,5210301,4,9,7,0.50395263067897
17975832,5206559,15,68,23,0.37929130306813
17975832,9784288,6,41,23,0.195386882707751
17975832,14019388,4,30,23,0.152277397525376
17975832,16238356,4,10,23,0.263752189358315
17975832,16862907,4,22,23,0.177821689789755
17975832,16982579,7,117,23,0.134940150792123
17982369,4850876,5,17,5,0.54232614454664
17982369,11436738,4,11,5,0.539359889970594
18120208,10526626,5,20,5,0.5
18140032,17990557,4,12,9,0.384900179459751
18201381,16982579,4,117,16,0.0924500327042048
18242380,4065101,4,7,8,0.534522483824849
18242380,7592799,4,48,8,0.204124145231932
18242380,11255368,5,12,8,0.510310363079829
18242380,16982579,4,117,8,0.130744090092123
18409404,8257075,4,51,12,0.161690416690889
18409404,16982579,5,117,12,0.133440128170906
18423574,3840603,5,39,14,0.213980246255456
18423574,9784288,4,41,14,0.166956774225936
18423574,16237272,5,12,14,0.38575837490523
18423574,16238356,4,10,14,0.338061701891407
18423574,16982579,4,117,14,0.0988332422214802
18825528,3840603,4,39,14,0.171184197004365
18825528,16982579,5,117,14,0.12354155277685
19176993,5206559,6,68,7,0.275009549108463
19176993,9784288,4,41,7,0.236112534440382
19176993,16982579,4,117,7,0.139771311562922
19685603,8257075,4,51,7,0.211702449609985
19696249,4409272,4,7,14,0.404061017820884
19696249,6351292,4,17,14,0.259281489420866
19696249,7308420,6,8,14,0.566946709513841
19696249,10527918,5,9,14,0.445435403187374
19696249,14603547,4,27,14,0.205737799949456
19882291,4543040,7,18,13,0.457604315322429
19882291,4850876,4,17,13,0.269069117598525
19882291,17093916,4,12,13,0.320256307610174
20025407,3342650,4,5,17,0.433860915637312
20025407,4409272,4,7,17,0.366679398811285
20025407,6351292,4,17,17,0.235294117647059
20025407,7308420,4,8,17,0.342997170285018
20025407,19696249,4,14,17,0.259281489420866
20025407,20025211,7,10,17,0.536875492193159
20668512,16982579,4,117,13,0.102564102564103
20790036,11274817,5,21,14,0.291605921759902
21272024,4543040,6,18,7,0.534522483824849
21293232,11431556,4,15,11,0.311399577664609
21398077,11215642,4,4,5,0.894427190999916
21422242,5317410,5,15,11,0.389249472080761
21422242,16982579,7,117,11,0.195123135668321
22072376,3829231,4,55,22,0.114991914915214
22072376,8124334,4,4,22,0.426401432711221
22072376,8257075,4,51,22,0.119416286805306
22072376,16982579,4,117,22,0.0788416527985444
22080605,16982579,4,117,11,0.111498934667612
22180507,4118422,5,21,9,0.363696483726654
22354688,16982579,4,117,9,0.123266710272273
22621594,19949687,4,6,7,0.617213399848368
22716633,5206559,10,68,40,0.191741247211843
22716633,7592799,4,48,40,0.0912870929175277
22716633,16982579,15,117,40,0.219264504826757
22716633,17006402,4,13,40,0.175411603861406
22722328,3840603,4,39,28,0.12104550653376
22722328,4599013,4,4,28,0.377964473009227
22722328,5206559,5,68,28,0.114587312128526
22722328,5301976,4,9,28,0.251976315339485
22722328,9784286,4,7,28,0.285714285714286
22722328,9784288,7,41,28,0.206598467635334
22722328,9793723,4,9,28,0.251976315339485
22722328,9793728,6,20,28,0.253546276418555
22722328,13920058,4,8,28,0.267261241912424
22722328,16235653,4,7,28,0.285714285714286
22722328,16237272,8,12,28,0.436435780471985
22722328,16238356,7,10,28,0.418330013267038
22722328,16982579,6,117,28,0.104828483672192
22722328,17975832,4,23,28,0.15762208124782
22722328,17990557,5,12,28,0.272772362794991
22722328,18423574,10,14,28,0.505076272276105
22722328,20783932,4,6,28,0.308606699924184
22725047,22722328,4,28,6,0.308606699924184
22920002,4202106,4,8,19,0.324442842261525
22920002,4218636,5,12,19,0.331133089266261
23014031,16964454,4,21,6,0.356348322549899
23740290,4118422,4,21,7,0.329914439536929
23743544,23740812,4,4,6,0.816496580927726
24188167,3555744,4,16,4,0.5
24352424,16862907,4,22,15,0.220192753025272
24422039,5227468,4,7,15,0.390360029179413
24422039,6207824,6,8,15,0.547722557505166
24422039,7948004,5,23,15,0.269190951029083
24422039,14391607,4,4,15,0.516397779494322
24422039,15686441,4,5,15,0.461880215351701
24422039,16964454,7,21,15,0.394405318873308
24422039,19949687,5,6,15,0.52704627669473
24422039,22621594,5,7,15,0.487950036474267
24546527,3840603,10,39,30,0.292352673102343
24546527,7592799,4,48,30,0.105409255338946
24546527,9808723,4,16,30,0.182574185835055
24546527,16982579,22,117,30,0.371337767930678
24546527,22716633,5,40,30,0.144337567297406
25302353,11963721,4,4,5,0.894427190999916
25387792,22072376,6,22,20,0.286038776773678
25388601,16982579,9,117,13,0.230769230769231
25388601,22080605,4,11,13,0.334496804002836
25777577,11758980,4,6,5,0.730296743340221
25943087,25094803,5,9,7,0.629940788348712
26118513,5206559,4,68,7,0.183339699405642
26183959,4312792,4,7,19,0.346843987809648
26183959,6834569,4,11,19,0.27668578554643
26183959,16964454,5,21,19,0.250313087160879
26193608,3340593,4,8,11,0.426401432711221
26193608,4543040,7,18,11,0.497468338163091
26193608,4850876,6,17,11,0.438763454476278
26193608,7948004,4,23,11,0.251477845384773
26193608,10526588,4,11,11,0.363636363636364
26193608,10682331,4,11,11,0.363636363636364
26193608,17093916,6,12,11,0.522232967867094
26193608,19882291,4,13,11,0.334496804002836
26334463,16982579,5,117,9,0.154083387840341
26334463,21422242,5,11,9,0.502518907629606
27370076,16982579,4,117,6,0.150970271219279
27420587,16511040,4,10,9,0.421637021355784
27420587,17681590,4,15,9,0.344265186329548
27420587,21416813,4,20,9,0.298142396999972
27966563,16982579,4,117,5,0.165379646118945
28135699,16982579,5,117,6,0.188712839024099
28361015,5206559,4,68,12,0.140028008402801
28720107,5206559,4,68,13,0.134534558799262
28720107,16982579,12,117,13,0.307692307692308
28760781,5206559,15,68,32,0.321559847142204
28760781,12949704,4,23,32,0.147441956154897
28760781,16982579,13,117,32,0.212459146399699
28840034,16982579,9,117,10,0.263117405792109
28840034,24546527,5,30,10,0.288675134594813
29142127,3840603,4,39,6,0.261488180184245
29618814,16982579,11,117,16,0.254237589936563
29980740,8257075,4,51,5,0.25048971643406
30001927,3829231,14,55,59,0.24576536845703
30001927,3840603,24,39,59,0.5003258390701
30001927,5505485,4,5,59,0.232889003895833
30001927,8257075,6,51,59,0.109380563524646
30001927,12094484,4,4,59,0.260377821961648
30001927,12949704,5,23,59,0.135731322449476
30001927,16982579,15,117,59,0.18053953616853
30001927,22072376,5,22,59,0.138781845413342
30001927,24546527,11,30,59,0.261460478697841
30001927,28760781,4,32,59,0.0920574617898323
30001927,28840034,4,10,59,0.164677393918524
30001927,29142127,6,6,59,0.31889640207164
30009485,5206559,4,68,16,0.121267812518166
30009485,16982579,11,117,16,0.254237589936563
30009485,24546527,5,30,16,0.228217732293819
30009485,30006485,4,6,16,0.408248290463863
30200308,3832017,4,12,12,0.333333333333333
30200308,8257075,7,51,12,0.282958229209055
30200308,9013560,4,6,12,0.471404520791032
30520118,27498077,4,6,4,0.816496580927726
30574816,5206559,4,68,12,0.140028008402801
30648847,7592799,9,48,24,0.265165042944955
30648847,16982579,5,117,24,0.0943564195120496
30648847,21416813,4,20,24,0.182574185835055
30648847,21422242,4,11,24,0.246182981958665
30682196,7592799,4,48,5,0.258198889747161
30684326,16982579,4,117,4,0.18490006540841
30806198,5206559,5,68,32,0.107186615714068
30806198,8257075,6,51,32,0.148522131446501
30806198,9784288,12,41,32,0.33129457822454
30806198,16982579,8,117,32,0.130744090092123
30806198,21293232,4,11,32,0.21320071635561
30806198,23320169,4,10,32,0.223606797749979
30806198,25094803,4,9,32,0.235702260395516
31462573,5206559,5,68,5,0.27116307227332
31520074,7592799,5,48,7,0.272772362794991
31520074,30648847,5,24,7,0.38575837490523
31721197,30574816,4,12,7,0.436435780471985
31742093,9784288,4,41,13,0.173259232729684
31742093,21293232,4,11,13,0.334496804002836
31742093,30806198,10,32,13,0.49029033784546
31786672,19696249,4,14,10,0.338061701891407
31786672,20025407,6,17,10,0.460178993308422
31791153,3829231,6,55,12,0.233549683248457
31791153,8257075,4,51,12,0.161690416690889
31791153,26224275,5,7,12,0.545544725589981
31873653,30806198,5,32,7,0.33407655239053
31873653,31742093,4,13,7,0.419313934688767
31912135,16982579,4,117,7,0.139771311562922
32034205,30574816,4,12,12,0.333333333333333
32034345,8257075,4,51,9,0.186704011203735
32081108,11255368,5,12,7,0.545544725589981
32095530,5206559,7,68,25,0.169774937525433
32095530,8257075,4,51,25,0.112022406722241
32095530,9784288,4,41,25,0.124939009510885
32095530,9784477,4,23,25,0.16681153124566
32095530,15352517,4,9,25,0.266666666666667
32095530,17347184,4,13,25,0.221880078490092
32095530,28361015,5,12,25,0.288675134594813
32095530,30459318,5,10,25,0.316227766016838
32116457,17538905,4,14,7,0.404061017820884
32306815,3829231,4,55,5,0.241209075662211
32339998,16982579,5,117,9,0.154083387840341
32339998,28760781,4,32,9,0.235702260395516
32407223,16982579,4,117,4,0.18490006540841
32519054,9808723,4,16,14,0.267261241912424
32519054,16982579,9,117,14,0.22237479499833
32667965,5206559,7,68,22,0.180980691498257
32667965,7592799,6,48,22,0.184637236468999
32667965,16982579,6,117,22,0.118262479197817
32667965,22354688,6,9,22,0.426401432711221
32667965,30051279,4,7,22,0.322329185610152
32736597,12837678,4,11,6,0.492365963917331
33144654,9784288,6,41,25,0.187408514266327
33144654,30574816,4,12,25,0.23094010767585
33144654,30806198,9,32,25,0.318198051533946
33144654,31721197,4,7,25,0.302371578407382
33144654,31742093,6,13,25,0.332820117735137
33343422,16982579,4,117,4,0.18490006540841
33544458,9784477,4,23,6,0.340502612303499
33602229,27036916,6,14,8,0.566946709513841
33754970,28630620,4,6,7,0.617213399848368
33828975,16982579,6,117,6,0.226455406828919
33833619,32034205,4,12,4,0.577350269189626
34097463,11255368,4,12,6,0.471404520791032
34227088,5206559,4,68,10,0.153392997769474
34227088,9784477,4,23,10,0.263752189358315
34227088,33544458,4,6,10,0.516397779494322
34370297,30001927,4,59,4,0.260377821961648
34397713,3840603,4,39,5,0.286445949615773
34397713,30001927,4,59,5,0.232889003895833
34404803,25387792,4,20,6,0.365148371670111
34585189,7592799,4,48,6,0.235702260395516
34794795,16982579,4,117,11,0.111498934667612
34794795,22716633,4,40,11,0.190692517849118
35215022,3829231,5,55,13,0.186989398001691
35215022,8257071,4,8,13,0.392232270276368
35215022,8257075,5,51,13,0.194183909345154
35215022,16982579,4,117,13,0.102564102564103
35365336,3829231,4,55,18,0.127128345232746
35365336,5206559,16,68,18,0.457329560380024
35365336,32667965,6,22,18,0.301511344577764
35799056,3829231,4,55,6,0.220192753025272
35799056,30001927,4,59,6,0.212597601381094
35849501,16982579,5,117,11,0.139373668334515
35849501,28840034,5,10,11,0.476731294622796
35878022,3840603,4,39,25,0.12810252304407
35878022,16982579,20,117,25,0.369800130816819
35878022,24546527,7,30,25,0.255603860169077
35878022,25388601,4,13,25,0.221880078490092
35878022,27370076,4,6,25,0.32659863237109
35878022,28840034,6,10,25,0.379473319220206
35878022,29618814,4,16,25,0.2
35878022,30001927,7,59,25,0.182264475373153
35878022,35849501,5,11,25,0.301511344577764
36111835,9808723,5,16,5,0.559016994374947
36155746,5206559,4,68,22,0.103417537999004
36155746,16982579,13,117,22,0.256235371595269
36155746,22716633,4,40,22,0.134839972492648
36155746,24546527,5,30,22,0.194624736040381
36155746,28760781,6,32,22,0.226133508433323
36155746,30009485,4,16,22,0.21320071635561
36162800,3840603,6,39,12,0.277350098112615
36162800,24546527,4,30,12,0.210818510677892
36162800,30001927,10,59,12,0.375823014001414
36162800,34370297,4,4,12,0.577350269189626
36336702,3829231,8,55,113,0.101477420812884
36336702,3840603,7,39,113,0.105445127130129
36336702,5206559,33,68,113,0.376461234266927
36336702,5317410,9,15,113,0.218603775400767
36336702,5821122,4,5,113,0.168281264764669
36336702,7592799,7,48,113,0.0950469531538745
36336702,7759170,4,13,113,0.10436361005711
36336702,8257071,5,8,113,0.166297526309435
36336702,8257075,9,51,113,0.118554542696438
36336702,9671498,4,5,113,0.168281264764669
36336702,9784288,13,41,113,0.190990691973357
36336702,9784475,4,4,113,0.188144173676719
36336702,9784477,7,23,113,0.137307702463588
36336702,9808723,4,16,113,0.0940720868383597
36336702,10094135,6,33,113,0.0982550902060951
36336702,12949704,10,23,113,0.196153860662268
36336702,13912659,5,10,113,0.148741029327182
36336702,14019388,7,30,113,0.120225942650227
36336702,16982579,49,117,113,0.426151407733199
36336702,17347184,7,13,113,0.182636317599942
36336702,17975832,12,23,113,0.235384632794722
36336702,18201381,4,16,113,0.0940720868383597
36336702,18409404,4,12,113,0.108625089318714
36336702,21422242,5,11,113,0.14181900694935
36336702,22716633,18,40,113,0.267733852788928
36336702,23320169,4,10,113,0.118992823461746
36336702,24546527,8,30,113,0.137401077314545
36336702,25388601,4,13,113,0.10436361005711
36336702,26118513,4,7,113,0.142223626906956
36336702,26334463,4,9,113,0.125429449117813
36336702,28227097,4,4,113,0.188144173676719
36336702,28361015,6,12,113,0.162937633978071
36336702,28720107,8,13,113,0.20872722011422
36336702,28760781,24,32,113,0.399114063142644
36336702,28840034,4,10,113,0.118992823461746
36336702,28864651,4,6,113,0.153619074528514
36336702,29618814,9,16,113,0.211662195386309
36336702,30001927,14,59,113,0.171459995548514
36336702,30009485,8,16,113,0.188144173676719
36336702,30459318,6,10,113,0.178489235192619
36336702,30648847,6,24,113,0.115214305896385
36336702,30806198,12,32,113,0.199557031571322
36336702,31462573,4,5,113,0.168281264764669
36336702,32095530,9,25,113,0.169329756309048
36336702,32180353,4,4,113,0.188144173676719
36336702,32519054,5,14,113,0.125709113788567
36336702,32667965,7,22,113,0.140393654121038
36336702,33144654,4,25,113,0.0752576694706878
36336702,34794795,7,11,113,0.19854660972909
36336702,35215022,5,13,113,0.130454512571387
36336702,35365336,8,18,113,0.177384028063397
36336702,35849501,4,11,113,0.11345520555948
36336702,35878022,12,25,113,0.225773008412063
36336702,36155746,18,22,113,0.361012253454099
36336702,36162800,4,12,113,0.108625089318714
36464021,27498077,4,6,4,0.816496580927726
36543294,8257075,5,51,8,0.247536885744169
36543294,27592219,4,5,8,0.632455532033676
36582850,27036916,4,14,10,0.338061701891407
36582850,32095530,4,25,10,0.25298221281347
36633048,16982579,6,117,10,0.175411603861406
36633048,28840034,4,10,10,0.4
36633048,30001927,4,59,10,0.164677393918524
36633048,35878022,6,25,10,0.379473319220206
36633048,36336702,5,113,10,0.148741029327182
36953027,16982579,4,117,13,0.102564102564103
37051572,16982579,4,117,14,0.0988332422214802
37051572,18409404,5,12,14,0.38575837490523
37051572,32095530,5,25,14,0.267261241912424
37051572,36336702,5,113,14,0.125709113788567
37055987,5206559,4,68,11,0.146254484825426
37055987,16982579,4,117,11,0.111498934667612
37055987,17975832,4,23,11,0.251477845384773
37055987,28760781,4,32,11,0.21320071635561
37055987,36155746,4,22,11,0.25712973861329
37055987,36336702,8,113,11,0.22691041111896
37164842,5206559,4,68,4,0.242535625036333
37164842,36336702,4,113,4,0.188144173676719
37180733,5206559,11,68,25,0.266789187539966
37180733,8257075,4,51,25,0.112022406722241
37180733,16982579,8,117,25,0.147920052326728
37180733,17347184,4,13,25,0.221880078490092
37180733,18409404,4,12,25,0.23094010767585
37180733,22716633,5,40,25,0.158113883008419
37180733,28720107,6,13,25,0.332820117735137
37180733,28760781,8,32,25,0.282842712474619
37180733,30574816,4,12,25,0.23094010767585
37180733,32095530,6,25,25,0.24
37180733,36336702,18,113,25,0.338659512618095
37180733,37051572,6,14,25,0.320713490294909
37205087,17453395,4,6,28,0.308606699924184
37205087,17538905,6,14,28,0.303045763365663
37205087,28361015,4,12,28,0.218217890235992
37205087,30806198,6,32,28,0.200445931434318
37205087,32095530,6,25,28,0.226778683805536
37205087,33472468,10,12,28,0.545544725589981
37205087,34585189,4,6,28,0.308606699924184
37287827,3840603,6,39,17,0.233020691214185
37287827,16982579,13,117,17,0.291491544065069
37287827,24546527,4,30,17,0.177122977108019
37287827,30001927,5,59,17,0.157877244487668
37287827,36336702,6,113,17,0.136894994278883
37305287,8257075,7,51,8,0.346551640041836
37493096,5206559,8,68,8,0.342997170285018
37493096,16982579,4,117,8,0.130744090092123
37493096,28760781,5,32,8,0.3125
37493096,36336702,7,113,8,0.232816536833209
37493096,37180733,5,25,8,0.353553390593274
37800660,20025407,4,17,6,0.39605901719067
37871006,16982579,5,117,7,0.174714139453653
37871006,32095530,4,25,7,0.302371578407382
37871006,36336702,4,113,7,0.142223626906956
37918331,5206559,5,68,33,0.105550082730187
37918331,12949704,4,23,33,0.145190801728126
37918331,16982579,17,117,33,0.273589244764985
37918331,22716633,8,40,33,0.220192753025272
37918331,24546527,5,30,33,0.158910431540932
37918331,28720107,6,13,33,0.289682729751161
37918331,28760781,4,32,33,0.123091490979333
37918331,29618814,5,16,33,0.217597069944622
37918331,30001927,8,59,33,0.181303843639735
37918331,30009485,4,16,33,0.174077655955698
37918331,35878022,7,25,33,0.243708718337977
37918331,36155746,5,22,33,0.185567404756301
37918331,36336702,19,113,33,0.311141118985968
37918331,37180733,5,25,33,0.174077655955698
38084517,4065101,5,7,44,0.284901441149095
38084517,5206559,8,68,44,0.146254484825426
38084517,7592799,16,48,44,0.348155311911396
38084517,11255368,5,12,44,0.217597069944622
38084517,11569824,5,11,44,0.227272727272727
38084517,14019388,5,30,44,0.137620470640795
38084517,16982579,14,117,44,0.195123135668321
38084517,21416813,5,20,44,0.168549965615811
38084517,28268029,5,5,44,0.337099931231621
38084517,28760781,8,32,44,0.21320071635561
38084517,29618814,5,16,44,0.188444590361102
38084517,30009485,6,16,44,0.226133508433323
38084517,30648847,5,24,44,0.153864363724166
38084517,30682196,4,5,44,0.269679944985297
38084517,31520074,4,7,44,0.227921152919276
38084517,32081108,4,7,44,0.227921152919276
38084517,32339998,5,9,44,0.251259453814803
38084517,32667965,7,22,44,0.224988521286629
38084517,35283874,5,7,44,0.284901441149095
38084517,36336702,11,113,44,0.156000907644285
38084517,36953027,7,13,44,0.292684703502482
38172949,30648847,4,24,5,0.365148371670111
38172949,31520074,4,7,5,0.676123403782813
38251171,36336702,4,113,5,0.168281264764669
38251171,37918331,4,33,5,0.311399577664609
38350086,30237637,4,4,8,0.707106781186547
38618930,36336702,6,113,9,0.188144173676719
38854075,26183959,4,19,4,0.458831467741123
38867108,36336702,5,113,5,0.210351580955836
38896480,7592799,6,48,8,0.306186217847897
38896480,31520074,4,7,8,0.534522483824849
38896480,38084517,4,44,8,0.21320071635561
38954404,16982579,4,117,7,0.139771311562922
38954404,30009485,6,16,7,0.566946709513841
38954404,30459318,4,10,7,0.478091443733757
38954404,36336702,5,113,7,0.177779533633694
39105746,16982579,4,117,5,0.165379646118945
39105746,28840034,4,10,5,0.565685424949238
39429046,25939371,4,6,6,0.666666666666667
39429046,38474675,4,4,6,0.816496580927726
39483661,16982579,5,117,10,0.146176336551172
39483661,36336702,5,113,10,0.148741029327182
39580645,16982579,5,117,7,0.174714139453653
39580645,36336702,5,113,7,0.177779533633694
39582539,5206559,4,68,7,0.183339699405642
39582539,30574816,4,12,7,0.436435780471985
39582539,37180733,4,25,7,0.302371578407382
39757551,3829231,4,55,54,0.0733975843417574
39757551,3840603,4,39,54,0.0871627267280818
39757551,5206559,15,68,54,0.247536885744169
39757551,5317410,6,15,54,0.210818510677892
39757551,7592799,5,48,54,0.0982092751647983
39757551,8257075,8,51,54,0.152443186793341
39757551,9784288,8,41,54,0.17002045681689
39757551,9784475,4,4,54,0.272165526975909
39757551,10094135,4,33,54,0.0947558739358269
39757551,12949704,6,23,54,0.17025130615175
39757551,13912659,4,10,54,0.172132593164774
39757551,16982579,20,117,54,0.251617118698799
39757551,17347184,5,13,54,0.188712839024099
39757551,18409404,4,12,54,0.157134840263677
39757551,21422242,4,11,54,0.164121987972444
39757551,22716633,11,40,54,0.236682315601564
39757551,24546527,4,30,54,0.0993807989999907
39757551,28361015,5,12,54,0.196418550329597
39757551,28760781,11,32,54,0.264618873378578
39757551,29618814,6,16,54,0.204124145231932
39757551,30001927,8,59,54,0.141731734254062
39757551,30009485,4,16,54,0.136082763487954
39757551,30648847,4,24,54,0.111111111111111
39757551,30806198,9,32,54,0.21650635094611
39757551,32095530,5,25,54,0.136082763487954
